code,up_limit,down_limit
002648,10.57,8.65
002649,9.11,7.45
002650,4.42,3.62
002651,4.9,4.01
002652,5.16,4.22
002653,14.07,11.51
002654,5.05,4.13
002655,7.84,6.42
002656,10.59,8.67
002657,14.72,12.04
002658,8.54,6.98
002659,8.81,7.21
002660,6.63,5.43
002661,13.49,11.03
002662,4.27,3.49
002663,3.07,2.51
002664,13.3,10.88
002665,3.81,3.11
002666,4.43,3.63
002667,7.68,6.28
002668,6.79,5.55
002669,13.54,11.08
002670,11.97,9.79
002671,5.02,4.1
002672,12.74,10.42
002673,9.26,7.58
002674,9.41,7.7
002675,9.9,8.1
002676,3.67,3.01
002677,11.39,9.32
002678,6.75,5.53
002679,20.13,16.47
002680,4.14,3.74
002681,4.48,3.66
002682,5.2,4.26
002683,9.77,7.99
002684,7.37,6.03
002685,6.31,5.17
002686,8.07,6.61
002687,7.13,5.83
002688,5.46,4.46
002689,3.91,3.2
002690,24.15,19.76
002691,7.85,6.43
002692,4.3,3.52
002693,4.74,3.88
002694,5.58,4.56
002695,11.4,9.32
002696,10.6,8.68
002697,5.6,4.58
002698,10.97,8.97
002699,6.81,5.57
002700,12.61,10.31
002701,5.58,4.56
002702,4.76,3.9
002703,4.48,3.66
002705,9.16,7.5
002706,6.3,5.16
002707,7.51,6.15
002708,12.1,9.9
002709,23.07,18.87
002711,4.84,3.96
002712,7.84,6.42
002713,18.07,14.79
002714,26.72,21.86
002715,16.82,13.76
002716,7.3,5.98
002717,9.99,8.17
002718,30.79,25.19
002719,16.87,13.81
002721,6.91,5.65
002722,18.1,14.81
002723,10.05,8.23
002724,6.16,5.04
002725,9.21,7.53
002726,9.61,7.87
002727,24.61,20.13
002728,16.17,13.23
002729,24.04,19.67
002730,7.85,6.43
002731,19.42,15.89
002732,17.49,14.31
002733,9.85,8.06
002734,11.55,9.45
002735,24.7,20.21
002736,9.68,7.92
002737,18.79,15.37
002738,16.91,13.83
002739,24.07,19.69
002740,6.41,5.25
002741,18.84,15.42
002742,9.09,7.43
002743,6.64,5.44
002745,15.43,12.63
002746,16.17,13.23
002747,9.89,8.09
002748,8.68,7.1
002749,20.08,16.43
002750,6.58,5.38
002751,22.88,18.72
002752,7.69,6.29
002753,10.76,8.8
002755,19.07,15.61
002756,13.85,11.33
002757,32.88,26.9
002758,8.77,7.17
