code,sw1,sw2,sw3
002582,食品饮料,食品加工,食品综合
002583,通信,通信设备,终端设备
002584,化工,化学制品,其他化学制品
002585,轻工制造,包装印刷,包装印刷
002586,建筑装饰,基础建设,水利工程
002587,电子,光学光电子,LED
002588,化工,化学制品,复合肥
002589,医药生物,医药商业,医药商业
002590,汽车,汽车零部件,汽车零部件
002591,化工,化学制品,其他化学制品
002592,汽车,汽车零部件,汽车零部件
002593,汽车,汽车零部件,汽车零部件
002594,汽车,汽车整车,乘用车
002595,机械设备,专用设备,其它专用机械
002596,建筑材料,其他建材,其他建材
002597,化工,化学制品,其他化学制品
002598,机械设备,通用机械,其它通用机械
002599,轻工制造,包装印刷,包装印刷
002600,有色金属,金属非金属新材料,磁性材料
002601,化工,化学制品,其他化学制品
002602,传媒,互联网传媒,互联网信息服务
002603,医药生物,中药,中药
002604,农林牧渔,农产品加工,其他农产品加工
002605,轻工制造,家用轻工,文娱用品
002606,电气设备,高低压设备,线缆部件及其他
002607,汽车,汽车服务,汽车服务
002608,国防军工,船舶制造,船舶制造
002609,计算机,计算机应用,IT服务
002610,电气设备,电源设备,光伏设备
002611,机械设备,专用设备,印刷包装机械
002612,纺织服装,服装家纺,女装
002613,机械设备,专用设备,其它专用机械
002614,家用电器,白色家电,小家电
002615,轻工制造,家用轻工,其他家用轻工
002616,家用电器,白色家电,小家电
002617,电气设备,高低压设备,线缆部件及其他
002618,电子,元件,印制电路板
002619,传媒,互联网传媒,移动互联网服务
002620,建筑装饰,装修装饰,装修装饰
002621,机械设备,专用设备,其它专用机械
002622,电气设备,高低压设备,中压设备
002623,建筑材料,玻璃制造,玻璃制造
002624,传媒,互联网传媒,移动互联网服务
002625,汽车,汽车零部件,汽车零部件
002626,医药生物,化学制药,化学原料药
002627,交通运输,公交,公交
002628,建筑装饰,基础建设,路桥施工
002629,采掘,采掘服务,油气钻采服务
002630,电气设备,电源设备,火电设备
002631,轻工制造,家用轻工,家具
002632,化工,化学制品,其他化学制品
002633,机械设备,通用机械,机械基础件
002634,纺织服装,服装家纺,其他服装
002635,电子,电子制造,电子零部件制造
002636,电子,元件,印制电路板
002637,化工,化学制品,日用化学产品
002638,电子,光学光电子,LED
002639,机械设备,通用机械,制冷空调设备
002640,商业贸易,一般零售,多业态零售
002641,建筑材料,其他建材,管材
002642,计算机,计算机应用,IT服务
002643,化工,化学制品,其他化学制品
002644,医药生物,中药,中药
002645,机械设备,专用设备,楼宇设备
002646,食品饮料,饮料制造,其他酒类
002647,机械设备,金属制品,金属制品
002648,化工,化学原料,其他化学原料
002649,计算机,计算机应用,IT服务
002650,食品饮料,食品加工,调味发酵品
002651,机械设备,专用设备,冶金矿采化工设备
002652,建筑材料,其他建材,其他建材
002653,医药生物,化学制药,化学制剂
002654,传媒,营销传播,营销服务
002655,电子,电子制造,电子系统组装
002656,纺织服装,服装家纺,男装
002657,计算机,计算机应用,IT服务
